Gradient Profiler Text Data File: hct116_polysome_rich.csv
Version: 1.88
Date: 2017-02-13
Time: 16:51:40

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
12.98, 0.086084, , 
13.02, 0.085511, , 
13.06, 0.084841, , 
13.09, 0.084439, , 
13.13, 0.083745, , 
13.17, 0.083218, , 
13.20, 0.082674, , 
13.24, 0.082143, , 
13.28, 0.081636, , 
13.31, 0.081041, , 
13.35, 0.080460, , 
13.39, 0.079873, , 
13.42, 0.079459, , 
13.46, 0.078963, , 
13.50, 0.078559, , 
13.53, 0.078254, , 
13.57, 0.077786, , 
13.61, 0.077459, , 
13.64, 0.077078, , 
13.68, 0.076664, , 
13.72, 0.076269, , 
13.75, 0.075920, , 
13.79, 0.075639, , 
13.83, 0.075329, , 
13.86, 0.075175, , 
13.90, 0.074824, , 
13.94, 0.074449, , 
13.97, 0.074081, , 
14.01, 0.073704, , 
14.05, 0.073373, , 
14.08, 0.072947, , 
14.12, 0.072479, , 
14.16, 0.072009, , 
14.19, 0.071535, , 
14.23, 0.071087, , 
14.27, 0.070564, , 
14.30, 0.070193, , 
14.34, 0.069691, , 
14.38, 0.069329, , 
14.41, 0.068986, , 
14.45, 0.068589, , 
14.49, 0.068238, , 
14.52, 0.067812, , 
14.56, 0.067441, , 
14.60, 0.067166, , 
14.63, 0.066890, , 
14.67, 0.066523, , 
14.71, 0.066240, , 
14.74, 0.066014, , 
14.78, 0.065679, , 
14.82, 0.065588, , 
14.85, 0.065336, , 
14.89, 0.065144, , 
14.93, 0.064896, , 
14.96, 0.064668, , 
15.00, 0.064521, , 
15.04, 0.064277, , 
15.07, 0.064154, , 
15.11, 0.063984, , 
15.15, 0.063817, , 
15.18, 0.063663, , 
15.22, 0.063538, , 
15.26, 0.063397, , 
15.29, 0.063181, , 
15.33, 0.063129, , 
15.37, 0.063098, , 
15.40, 0.063056, , 
15.44, 0.062915, , 
15.48, 0.062689, , 
15.51, 0.062640, , 
15.55, 0.062539, , 
15.59, 0.062598, , 
15.62, 0.062570, , 
15.66, 0.062537, , 
15.70, 0.062535, , 
15.73, 0.062352, , 
15.77, 0.062219, , 
15.81, 0.062083, , 
15.84, 0.062079, , 
15.88, 0.062061, , 
15.92, 0.062081, , 
15.95, 0.062172, , 
15.99, 0.062097, , 
16.03, 0.062101, , 
16.06, 0.061948, , 
16.10, 0.061732, , 
16.14, 0.061625, , 
16.17, 0.061549, , 
16.21, 0.061567, , 
16.25, 0.061524, , 
16.28, 0.061587, , 
16.32, 0.061593, , 
16.36, 0.061567, , 
16.39, 0.061609, , 
16.43, 0.061565, , 
16.47, 0.061617, , 
16.50, 0.061551, , 
16.54, 0.061547, , 
16.58, 0.061617, , 
16.61, 0.061825, , 
16.65, 0.062037, , 
16.69, 0.062031, , 
16.72, 0.062081, , 
16.76, 0.062031, , 
16.80, 0.062073, , 
16.83, 0.062217, , 
16.87, 0.062400, , 
16.91, 0.062533, , 
16.94, 0.062511, , 
16.98, 0.062733, , 
17.02, 0.062903, , 
17.05, 0.063042, , 
17.09, 0.063036, , 
17.13, 0.063096, , 
17.16, 0.063338, , 
17.20, 0.063464, , 
17.24, 0.063589, , 
17.27, 0.063730, , 
17.31, 0.063948, , 
17.35, 0.064123, , 
17.38, 0.064329, , 
17.42, 0.064622, , 
17.46, 0.064817, , 
17.49, 0.065112, , 
