Gradient Profiler Text Data File: hct116_polysome_arg.csv
Version: 1.88
Date: 2017-02-13
Time: 17:08:30

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
10.16, 0.581015, , 
10.20, 0.580874, , 
10.23, 0.580748, , 
10.27, 0.580607, , 
10.31, 0.580369, , 
10.34, 0.580270, , 
10.38, 0.580052, , 
10.42, 0.579826, , 
10.45, 0.579780, , 
10.49, 0.579641, , 
10.53, 0.579471, , 
10.56, 0.579269, , 
10.60, 0.579215, , 
10.64, 0.579021, , 
10.67, 0.578811, , 
10.71, 0.578716, , 
10.75, 0.578432, , 
10.78, 0.578343, , 
10.82, 0.578287, , 
10.86, 0.578242, , 
10.89, 0.578287, , 
10.93, 0.578220, , 
10.97, 0.578281, , 
11.00, 0.578258, , 
11.04, 0.578283, , 
11.08, 0.578285, , 
11.11, 0.578242, , 
11.15, 0.578297, , 
11.19, 0.578254, , 
11.22, 0.578238, , 
11.26, 0.578341, , 
11.30, 0.578547, , 
11.33, 0.578700, , 
11.37, 0.578729, , 
11.41, 0.578805, , 
11.44, 0.578757, , 
11.48, 0.578809, , 
11.52, 0.578836, , 
11.55, 0.578773, , 
11.59, 0.578807, , 
11.63, 0.578757, , 
11.66, 0.578704, , 
11.70, 0.578492, , 
11.74, 0.578325, , 
11.77, 0.578313, , 
11.81, 0.578248, , 
11.85, 0.578250, , 
11.88, 0.578038, , 
11.92, 0.577851, , 
11.96, 0.577829, , 
11.99, 0.577776, , 
12.03, 0.577774, , 
12.07, 0.577609, , 
12.10, 0.577457, , 
12.14, 0.577334, , 
12.18, 0.577280, , 
12.21, 0.577324, , 
12.25, 0.577139, , 
12.29, 0.576961, , 
12.32, 0.576828, , 
12.36, 0.576800, , 
12.40, 0.576800, , 
