Gradient Profiler Text Data File: 20160110_ingolia_plusrnase.csv,,,
Version: 1.88,,,
Date: 2016-01-10,,,
Time: 19:27:09,,,
,,,
User: Alicia,,,
Experiment name: 20160110_RNaseIcheck_andreevvsingolia,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.15 ml,,,
Number of Tubes: 6,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.50,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 4 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 4.33 mm,,,
Number: 24,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
20.73,0.050859, , 
20.79,0.050472, , 
20.84,0.050127, , 
20.9,0.049817, , 
20.95,0.049508, , 
21.01,0.049213, , 
21.07,0.048894, , 
21.12,0.048631, , 
21.18,0.048355, , 
21.23,0.048117, , 
21.29,0.047901, , 
21.34,0.047697, , 
21.4,0.047507, , 
21.45,0.047348, , 
21.5,0.047183, , 
21.56,0.047016, , 
21.61,0.046846, , 
21.67,0.046707, , 
21.73,0.04659, , 
21.78,0.046473, , 
21.84,0.046317, , 
21.89,0.046185, , 
21.95,0.04606, , 
22,0.045938, , 
22.06,0.045822, , 
22.11,0.045716, , 
22.16,0.045571, , 
22.22,0.045458, , 
22.27,0.04535, , 
22.33,0.045224, , 
22.39,0.045144, , 
22.44,0.045056, , 
22.5,0.044974, , 
22.55,0.044879, , 
22.61,0.044791, , 
22.66,0.044728, , 
22.72,0.04465, , 
22.77,0.044577, , 
22.82,0.044507, , 
22.88,0.04443, , 
22.93,0.044345, , 
22.99,0.044262, , 
23.05,0.044172, , 
23.1,0.044098, , 
23.16,0.044027, , 
23.21,0.043941, , 
23.27,0.04385, , 
23.32,0.043791, , 
23.38,0.043752, , 
23.43,0.043687, , 
23.48,0.043616, , 
23.54,0.043542, , 
23.59,0.043475, , 
23.65,0.043408, , 
23.7,0.043332, , 
23.76,0.043254, , 
23.82,0.043182, , 
23.87,0.04315, , 
23.93,0.043094, , 
23.98,0.043032, , 
24.04,0.042967, , 
24.09,0.0429, , 
24.15,0.042843, , 
24.2,0.042784, , 
24.25,0.042711, , 
24.31,0.04266, , 
24.36,0.042614, , 
24.42,0.04256, , 
24.48,0.042521, , 
24.53,0.042467, , 
24.59,0.042421, , 
24.64,0.0424, , 
24.7,0.042375, , 
24.75,0.042321, , 
24.81,0.04228, , 
24.86,0.042232, , 
24.91,0.042164, , 
24.97,0.042133, , 
25.02,0.0421, , 
25.08,0.042046, , 
25.14,0.042025, , 
25.19,0.04202, , 
25.25,0.041996, , 
25.3,0.041945, , 
25.36,0.041908, , 
25.41,0.04189, , 
25.47,0.041862, , 
25.52,0.041805, , 
25.58,0.041774, , 
25.63,0.041748, , 
25.68,0.041687, , 
25.74,0.041647, , 
25.8,0.041619, , 
25.85,0.041564, , 
25.91,0.041526, , 
25.96,0.041509, , 
26.02,0.041491, , 
26.07,0.041432, , 
26.13,0.0414, , 
26.18,0.041398, , 
26.23,0.041397, , 
26.29,0.041398, , 
26.34,0.041395, , 
26.4,0.041392, , 
26.45,0.041383, , 
26.51,0.04137, , 
26.57,0.04132, , 
26.62,0.041276, , 
26.68,0.041266, , 
26.73,0.04126, , 
26.79,0.041257, , 
26.84,0.041261, , 
26.9,0.041268, , 
26.95,0.04126, , 
27,0.041216, , 
27.06,0.041164, , 
27.11,0.041149, , 
27.17,0.041134, , 
27.23,0.041132, , 
27.28,0.041138, , 
27.34,0.041138, , 
27.39,0.041141, , 
27.45,0.041132, , 
27.5,0.041129, , 
27.56,0.041143, , 
27.61,0.041144, , 
27.66,0.041137, , 
27.72,0.041146, , 
27.77,0.041148, , 
27.83,0.041136, , 
27.89,0.041148, , 
27.94,0.041209, , 
28,0.04125, , 
28.05,0.041265, , 
28.11,0.041266, , 
28.16,0.041259, , 
28.22,0.041262, , 
28.27,0.041262, , 
28.32,0.041265, , 
28.38,0.041275, , 
28.43,0.041265, , 
28.49,0.041253, , 
28.55,0.041269, , 
