Gradient Profiler Text Data File: hct116_polysome_leu.csv
Version: 1.88
Date: 2017-02-13
Time: 17:00:15

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
9.72, 0.788577, , 
9.76, 0.773758, , 
9.79, 0.758844, , 
9.83, 0.742594, , 
9.87, 0.726333, , 
9.90, 0.713122, , 
9.94, 0.697150, , 
9.98, 0.681167, , 
10.01, 0.666719, , 
10.05, 0.652229, , 
10.09, 0.636716, , 
10.12, 0.622958, , 
10.16, 0.608102, , 
10.20, 0.594666, , 
10.23, 0.581247, , 
10.27, 0.566815, , 
10.31, 0.552616, , 
10.34, 0.541346, , 
10.38, 0.527929, , 
10.42, 0.514609, , 
10.45, 0.502666, , 
10.49, 0.490823, , 
10.53, 0.478058, , 
10.56, 0.466796, , 
10.60, 0.454639, , 
10.64, 0.443890, , 
10.67, 0.433191, , 
10.71, 0.421679, , 
10.75, 0.410407, , 
10.78, 0.401579, , 
10.82, 0.391163, , 
10.86, 0.380860, , 
10.89, 0.371893, , 
10.93, 0.363002, , 
10.97, 0.353474, , 
11.00, 0.345136, , 
11.04, 0.336257, , 
11.08, 0.328573, , 
11.11, 0.321079, , 
11.15, 0.313203, , 
11.19, 0.305614, , 
11.22, 0.299680, , 
11.26, 0.292678, , 
11.30, 0.285789, , 
11.33, 0.279866, , 
11.37, 0.273347, , 
11.41, 0.267448, , 
11.44, 0.261831, , 
11.48, 0.255844, , 
11.52, 0.250220, , 
11.55, 0.245682, , 
11.59, 0.240280, , 
11.63, 0.234933, , 
11.66, 0.230130, , 
11.70, 0.225645, , 
11.74, 0.220907, , 
11.77, 0.216843, , 
11.81, 0.212534, , 
11.85, 0.208628, , 
11.88, 0.204824, , 
11.92, 0.200589, , 
11.96, 0.196676, , 
11.99, 0.193581, , 
12.03, 0.189975, , 
12.07, 0.186508, , 
12.10, 0.183471, , 
12.14, 0.180570, , 
12.18, 0.177277, , 
12.21, 0.174369, , 
12.25, 0.171187, , 
12.29, 0.168531, , 
12.32, 0.165983, , 
12.36, 0.162982, , 
12.40, 0.160232, , 
12.43, 0.157929, , 
12.47, 0.155272, , 
12.51, 0.152865, , 
12.54, 0.150824, , 
12.58, 0.149033, , 
12.62, 0.146926, , 
12.65, 0.145122, , 
12.69, 0.143060, , 
12.73, 0.141288, , 
12.76, 0.139765, , 
12.80, 0.137999, , 
12.84, 0.136365, , 
12.87, 0.134879, , 
12.91, 0.133213, , 
12.95, 0.131802, , 
12.98, 0.130307, , 
13.02, 0.128874, , 
13.06, 0.127337, , 
13.09, 0.126118, , 
13.13, 0.124629, , 
13.17, 0.123329, , 
13.20, 0.122100, , 
13.24, 0.120615, , 
13.28, 0.119310, , 
13.31, 0.118234, , 
13.35, 0.116999, , 
13.39, 0.115795, , 
13.42, 0.114656, , 
13.46, 0.113613, , 
13.50, 0.112356, , 
13.53, 0.111329, , 
13.57, 0.110195, , 
13.61, 0.109160, , 
13.64, 0.108125, , 
13.68, 0.106906, , 
13.72, 0.105847, , 
13.75, 0.104953, , 
13.79, 0.103843, , 
13.83, 0.102834, , 
13.86, 0.101813, , 
13.90, 0.100915, , 
13.94, 0.099878, , 
13.97, 0.099117, , 
14.01, 0.098288, , 
14.05, 0.097458, , 
14.08, 0.096587, , 
14.12, 0.095557, , 
14.16, 0.094740, , 
14.19, 0.094054, , 
14.23, 0.093245, , 
14.27, 0.092486, , 
14.30, 0.091675, , 
14.34, 0.091031, , 
14.38, 0.090164, , 
14.41, 0.089478, , 
14.45, 0.088711, , 
14.49, 0.088071, , 
14.52, 0.087559, , 
14.56, 0.086814, , 
14.60, 0.086178, , 
14.63, 0.085686, , 
14.67, 0.085129, , 
14.71, 0.084625, , 
14.74, 0.084058, , 
14.78, 0.083586, , 
14.82, 0.083075, , 
14.85, 0.082617, , 
14.89, 0.082066, , 
14.93, 0.081556, , 
14.96, 0.081267, , 
15.00, 0.080793, , 
15.04, 0.080409, , 
15.07, 0.080068, , 
15.11, 0.079667, , 
15.15, 0.079267, , 
15.18, 0.078920, , 
