Gradient Profiler Text Data File: 1100rnasei_andreev2.csv,,,
Version: 1.88,,,
Date: 2016-01-12,,,
Time: 16:04:09,,,
,,,
User: Alicia,,,
Experiment name: 20160112_rnasecheck3,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.12 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.50,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 8 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
8.41,0.3966, , 
8.44,0.396211, , 
8.47,0.395805, , 
8.5,0.39532, , 
8.53,0.394768, , 
8.55,0.39423, , 
8.58,0.393575, , 
8.61,0.392728, , 
8.63,0.391907, , 
8.66,0.391014, , 
8.69,0.390135, , 
8.72,0.389071, , 
8.74,0.38792, , 
8.77,0.38665, , 
8.8,0.385321, , 
8.83,0.383963, , 
8.86,0.382701, , 
8.88,0.381178, , 
8.91,0.379591, , 
8.94,0.37792, , 
8.96,0.376167, , 
8.99,0.374584, , 
9.02,0.372797, , 
9.05,0.37069, , 
9.07,0.368626, , 
9.1,0.366493, , 
9.13,0.36424, , 
9.16,0.362247, , 
9.19,0.359923, , 
9.21,0.357463, , 
9.24,0.35491, , 
9.27,0.352344, , 
9.29,0.35, , 
9.32,0.347242, , 
9.35,0.344421, , 
9.38,0.341555, , 
9.4,0.338619, , 
9.43,0.336043, , 
9.46,0.333197, , 
9.49,0.329936, , 
9.52,0.326818, , 
9.54,0.323663, , 
9.57,0.320407, , 
9.6,0.317579, , 
9.63,0.314348, , 
9.65,0.31105, , 
9.68,0.307674, , 
9.71,0.304337, , 
9.73,0.301376, , 
9.76,0.297961, , 
9.79,0.294736, , 
9.82,0.291073, , 
9.85,0.287579, , 
9.87,0.284131, , 
9.9,0.281092, , 
9.93,0.277617, , 
9.96,0.274176, , 
9.98,0.270744, , 
10.01,0.267286, , 
10.04,0.264276, , 
10.07,0.26091, , 
10.09,0.257495, , 
10.12,0.254142, , 
10.15,0.250839, , 
10.18,0.247961, , 
10.2,0.244641, , 
10.23,0.241362, , 
10.26,0.238099, , 
10.29,0.234861, , 
10.31,0.231645, , 
10.34,0.22887, , 
10.37,0.225669, , 
10.4,0.222575, , 
10.42,0.219532, , 
10.45,0.216516, , 
10.48,0.213886, , 
10.51,0.210991, , 
10.53,0.208103, , 
10.56,0.205276, , 
10.59,0.202503, , 
10.62,0.199786, , 
10.64,0.197442, , 
10.67,0.194857, , 
10.7,0.194319, , 
10.73,0.190985, , 
10.75,0.187253, , 
10.78,0.185102, , 
10.81,0.182672, , 
10.84,0.180356, , 
10.86,0.178104, , 
10.89,0.175851, , 
10.92,0.173936, , 
10.95,0.171945, , 
10.97,0.170253, , 
11,0.167822, , 
11.03,0.165919, , 
11.06,0.164043, , 
11.08,0.162407, , 
11.11,0.160592, , 
11.14,0.158857, , 
11.16,0.157105, , 
11.19,0.155429, , 
